Cluster ID,confidence_score,Start,End,Lobbyist,Client,Industry,ClientAddress,canonical_ClientAddress,canonical_End,canonical_Start,canonical_Industry,canonical_Lobbyist,canonical_Client
20,0.932264949594,2013-12-20,2014-12-20,Richard Suttle,"Safeway, Inc.",Real Estate Investment,"Real Estate Law Office, 5918 Stoneridge Mall Rd.
Pleasanton, California 94588
(37.69273091200046, -121.89835709899972)","b'real estate law office, 5918 stoneridge mall rd. pleasanton, california 94588'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',"b'safeway, inc.'"
25,0.900484515088,2013-12-20,2014-12-20,Richard Suttle,Hughes Capital Management,Real Estate Development,"1301 S. Capital of TX Highway, Suite A-300
Austin, Texas 78746
(30.27837820500048, -97.82003658199966)","b'1301 s. capital of tx highway, suite a-300 austin, texas 78746 (30.279878, -97.821155)'",b'2016-01-06',b'2014-01-07',b'real estate development',b'lynn carley',b'hughes capital management'
109,0.892927621092,2013-12-20,2014-12-20,Richard Suttle,"Orangestone Bluegrass, LLC",Real Estate Investment,"5828 Balcones Drive, Ste 101
Austin, Texas 78731
(30.340456663000452, -97.75515580999968)","b'5828 balcones drive, ste 101 austin, texas 78731 (30.340401, -97.755138)'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',"b'orangestone bluegrass, llc'"
29,0.873374458402,2013-12-20,2014-12-20,Richard Suttle,Austin Board of Realtors,Real Estate,"10900 Stonelake Blvd, Ste 100A
Austin, Texas 78759
(30.400246842000456, -97.7361519589997)","b'10900 stonelake blvd, ste 100a austin, texas 78759 (30.399546, -97.734444)'",b'2016-01-06',b'2014-01-07',b'real estate',b'lynn carley',b'austin board of realtors'
30,0.884277407612,2013-12-20,2014-12-20,Richard Suttle,"Shapiro, Bobby and Jim",Real Estate Investment,"1000 East 4th Street
Austin, Texas 78702
(30.26325684800048, -97.73320159499968)","b'1000 east 4th street austin, texas 78702 (30.263104, -97.732865)'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',"b'shapiro, bobby and jim'"
425,0.888314464263,2013-12-20,2014-12-20,Richard Suttle,"McCullough, Todd",Real Estate Investment,"311 Westwood Terrace
Austin, Texas 78746
(30.281462408000436, -97.80372726099966)","b'311 westwood terrace austin, texas 78746 (30.281421, -97.803764)'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',"b'mccullough, todd'"
31,0.903647248234,2013-12-20,2014-12-20,Richard Suttle,HPI Real Estate & Services Investment,Real Estate Investment,"3600 N. Capital of Texas Hwy, Bldg. B, Suite 250
Austin, Texas 78746
(30.334987060000458, -97.80662669599968)","b'3600 n. capital of texas hwy, bldg. b, suite 250 austin, texas 78746 (30.334961, -97.806617)'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',b'hpi real estate & services investment'
32,0.900038042239,2013-12-20,2014-12-20,Richard Suttle,TR Vista Preserve,Real Estate Investment,"1600 N. Collins, Suite 1500
Richardson, Texas 75080
(32.970068556000456, -96.72347941599969)","b'1600 n. collins, suite 1500 richardson, texas 75080 (32.970178, -96.723516)'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',b'tr vista preserve'
545,0.887101965291,2013-12-20,2014-12-20,Richard Suttle,"Magellan Development Group, LLC",Real Estate Investment,"225 N. Columbus Drive, Suite 100
Chicago, Illinois 60601
(41.884323941000446, -87.62061813299965)","b'225 n. columbus drive, suite 100 chicago, illinois 60601 (41.886356, -87.620644)'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',"b'magellan development group, llc'"
1007,0.933619580099,2013-12-20,2014-12-20,Richard Suttle,"Wilkinson, Julia Matthews",Real Estate Investment,"c/o Osborne, Helman, Knebel &amp; DeLeary L 301 Congress Ave., Ste. 1910
Austin, Texas 78701
(30.269910351000476, -97.74363728299966)","b'c/o osborne, helman, knebel &amp; deleary l 301 congress ave., ste. 1910 austin, texas 78701'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',"b'wilkinson, julia matthews'"
34,0.920602858067,2013-12-20,2014-12-20,Richard Suttle,H-E-B ,Real Estate,"646 South Main Avenue
San Antonio, Texas 78204
(29.417754239000487, -98.49582040599967)","b'646 south main avenue san antonio, texas 78204 (29.417754239000487, -98.49582040599967)'",b'2015-01-07',b'2014-01-07',b'real estate',b'lynn carley',b'h-e-b'
36,0.907983601093,2013-12-20,2014-12-20,Richard Suttle,"Nelson, Brad",Real Estate Investment,"905 Congress Avenue
Austin, Texas 78701
(30.271109483000487, -97.7416416969997)","b'905 congress avenue austin, texas 78701 (30.271109483000487, -97.7416416969997)'",b'2015-01-07',b'2014-01-07',b'real estate investment',b'lynn carley',"b'nelson, brad'"
38,0.890426946538,2013-12-20,2014-12-20,Richard Suttle,"CST Brands, Inc.",Real Estate Investment,"1 Valero Way, Bldg. D, Ste. 200
San Antonio, Texas 78249
(29.58928635400048, -98.60785962799969)","b'1 valero way, bldg. d, ste. 200 san antonio, texas 78249 (29.584433, -98.606971)'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',"b'cst brands, inc.'"
384,0.866985946894,2013-12-20,2014-12-20,Richard Suttle,"Capridge Partners, LLC",Real Estate Investment,"823 Congress Ave. #1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)","b'823 congress ave. #1111 austin, texas 78701 (30.270141, -97.742042)'",b'2016-01-06',b'2014-01-07',b'real estate investment',b'lynn carley',"b'capridge partners, llc'"
993,0.24520429553,2013-12-20,2014-12-20,Richard Suttle,"Amstar/Stacy 823, LP",Real Estate Investment/Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)","b'823 congress avenue, suite 1111 austin, texas 78701 (30.270141, -97.742042)'",b'2016-01-06',b'2016-01-07',b'real estate development',b'lynn carley',"b'walton stacy office partners iv, l.p.'"
40,0.89997281478,2013-12-20,2014-12-20,Richard Suttle,Aspen Properties,Real Estate Development,"7447 Bee Cave Road, Suite 150
Austin, Texas 78746
(30.30809388700044, -97.84317632199969)","b'7447 bee cave road, suite 150 austin, texas 78746 (30.308393, -97.84328)'",b'2016-01-06',b'2015-01-06',b'real estate development',b'lynn carley',b'aspen properties'
42,0.866985946894,2013-12-20,2014-12-20,Richard Suttle,Austin Baptist Church c/o Tom Stacy ,Religious Assembly/Education,"823 Congress Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)","b'823 congress suite 1111 austin, texas 78701 (30.270141, -97.742042)'",b'2016-01-06',b'2014-01-07',b'religious assembly/education',b'lynn carley',b'austin baptist church c/o tom stacy'
44,0.902555039951,2013-12-20,2014-12-20,Richard Suttle,"4800 Friedrich Lane, LLC",Real Estate Investment/Development,"2011 West Rutland
Austin, Texas 78758
(30.37871287900049, -97.70960915399968)","b'2011 west rutland austin, texas 78758'",b'2016-01-06',b'2014-01-07',b'real estate investment/development',b'lynn carley',"b'4800 friedrich lane, llc'"
46,0.894896234785,2013-12-20,2014-12-20,Richard Suttle,Amstar Group,Real Estate Investment/Development,"1050 17th Street, Suite 1200
Denver, Colorado 80265
(39.7485865970005, -104.99422913999967)","b'1050 17th street, suite 1200 denver, colorado 80265 (39.748463, -104.994001)'",b'2016-01-06',b'2014-01-07',b'real estate investment/development',b'lynn carley',b'amstar group'
48,0.884230098554,2013-12-20,2014-12-20,Richard Suttle,Austin Restaurant Association ,Restaurant Association,"11309 Pickfair Drive
Austin, Texas 78750
(30.442461567000464, -97.80806812299966)","b'11309 pickfair drive austin, texas 78750 (30.442405, -97.808073)'",b'2016-01-06',b'2014-01-07',b'restaurant association',b'lynn carley',b'austin restaurant association'
242,0.901696733066,2013-12-20,2014-12-20,Richard Suttle,Blenheim Corporation,Real Estate Investment/ Development,"5949 Sherry Lane, Suite 1230
Dallas, Texas 75225
(32.86232755500049, -96.81010002499966)","b'5949 sherry lane, suite 1230 dallas, texas 75225 (32.862324, -96.810102)'",b'2016-01-06',b'2014-01-07',b'real estate investment/ development',b'lynn carley',b'blenheim corporation'
776,0.894697202103,2013-12-20,2014-12-20,Richard Suttle,"Capital Commercial Investments, Inc. ",Real Estate Investment/Development,"720 Brazos Street, Suite 900
Austin, Texas 78701
(30.269170605000454, -97.7409701359997)","b'720 brazos street, suite 900 austin, texas 78701 (30.269173, -97.740916)'",b'2016-01-06',b'2014-01-07',b'real estate investment/development',b'lynn carley',"b'capital commercial investments, inc.'"
54,0.902408118759,2013-12-20,2014-12-20,Richard Suttle,"Carma Texas, Incorporated ",Real Estate Investment/Development,"9737 Great Hills Trail, Suite 260
Austin, Texas 78759
(30.39442428500047, -97.75220899899966)","b'9737 great hills trail, suite 260 austin, texas 78759 (30.394507, -97.752361)'",b'2016-01-06',b'2014-01-07',b'real estate investment/development',b'lynn carley',"b'carma texas, incorporated'"
513,0.8057111881,2013-12-20,2014-12-20,Richard Suttle,Circuit of the Americas LP,Sports and Special Events Productions,"301 Congess Avenue Suite 220
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)","b'301 congess avenue suite 220 austin, texas 78701 (30.26546951200004, -97.74375126999996)'",b'2016-01-06',b'2014-01-07',b'sports and special events productions',"b'derlis ""trey salinas iii'",b'circuit of the americas lp'
56,0.863384966339,2013-12-20,2014-12-20,Richard Suttle,Concordia University,Education,"3400 North IH-35
Austin, Texas 78705
(30.292743355000482, -97.74027859399968)","b'3400 north ih-35 austin, texas 78705 (30.291212, -97.722194)'",b'2016-01-06',b'2014-01-07',b'education',b'lynn carley',b'concordia university'
58,0.901584018679,2013-12-20,2014-12-20,Richard Suttle,"CWS Capital Partners, LLC",Real Estate Development,"9606 North Mopac Expressway, Suite 500
Austin, Texas 78759
(30.38604814000047, -97.73592099899969)","b'9606 north mopac expressway, suite 500 austin, texas 78759 (30.385447, -97.736028)'",b'2016-01-06',b'2014-01-07',b'real estate development',b'amanda morrow',"b'cws capital partners, llc'"
515,0.729218609134,2013-12-20,2014-12-20,Richard Suttle,Cypress Real Estate Advisors,Real Estate Investment/Development,"301 Congress Avenue, Suite 550
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)","b'301 congress avenue, suite 500 austin, texas 78701 (30.265358, -97.743798)'",b'2016-01-06',b'2015-01-06',b'real estate',b'lynn carley',"b'cypress realty vi limited partnership, c/o cypress real estate advisors'"
515,0.811788970232,2013-12-20,2014-12-20,Richard Suttle,Cypress Realty V Limited Partnership c/o Cypress Real Estate Advisors,Real Estate Investment/Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)","b'301 congress avenue, suite 500 austin, texas 78701 (30.265358, -97.743798)'",b'2016-01-06',b'2015-01-06',b'real estate',b'lynn carley',"b'cypress realty vi limited partnership, c/o cypress real estate advisors'"
515,0.817754544814,2013-12-20,2014-12-20,Richard Suttle,"Cypress Realty VI Limited Partnership, c/o Cypress Real Estate Advisors",Real Estate Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)","b'301 congress avenue, suite 500 austin, texas 78701 (30.265358, -97.743798)'",b'2016-01-06',b'2015-01-06',b'real estate',b'lynn carley',"b'cypress realty vi limited partnership, c/o cypress real estate advisors'"
62,0.483859883772,2013-12-20,2014-12-20,Richard Suttle,Endeavor Real Estate Group,Real Estate Investment/Development,"221 West 6th Street, Suite 1300
Austin, Texas 78702
(30.26857366200045, -97.74469865799966)","b'p.o. box 140646 austin, texas 78714'",b'2016-11-06',b'2015-11-07',b'real estate development',"b'derlis ""trey salinas iii'","b'endeavor real estate group, ltd.'"
901,0.905601097005,2013-12-20,2014-12-20,Richard Suttle,Episcopal Theological Seminary of the Southwest,Religious Assembly/Education,"P. O. Box 2247
Austin, Texas 78768
(30.270131946000447, -97.7419688009997)","b'p. o. box 2247 austin, texas 78768'",b'2016-01-06',b'2014-01-07',b'religious assembly/education',b'lynn carley',b'episcopal theological seminary of the southwest'
65,0.886001403843,2013-12-20,2014-12-20,Richard Suttle,Four Seasons Hotel,Hotel,"98 San Jacinto Boulevard
Austin, Texas 78701
(30.262322349000442, -97.74231207299965)","b'98 san jacinto boulevard austin, texas 78701 (30.262712, -97.742141)'",b'2016-01-06',b'2014-01-07',b'hotel',b'lynn carley',b'four seasons hotel'
67,0.889810171994,2013-12-20,2014-12-20,Richard Suttle,The Gottesman Company,Real Estate Investment/Development,"600 Congress Avenue, Suite 400
Austin, Texas 78701
(30.268231368000443, -97.74280004999969)","b'600 congress avenue, suite 400 austin, texas 78701 (30.268422, -97.742673)'",b'2016-01-06',b'2014-01-07',b'real estate investment/development',b'amanda morrow',b'the gottesman company'
69,0.873299573149,2013-12-20,2014-12-20,Richard Suttle,Hyde Park Baptist Church,Religious Assembly,"3901 Speedway
Austin, Texas 78751
(30.302484493000463, -97.73230499699969)","b'3901 speedway austin, texas 78751 (30.302398, -97.73238)'",b'2016-01-06',b'2014-01-07',b'religious assembly',b'lynn carley',b'hyde park baptist church'
72,0.863532423973,2013-12-20,2014-12-20,Richard Suttle,"Glenn Jackson, c/o KVA, Inc.",Real Estate Investment/Development,"P.O. Box 201687
Austin, Texas 78720
(30.424162391000436, -97.7569981749997)","b'p.o. box 201687 austin, texas 78720 (30.424162391000436, -97.7569981749997)'",b'2015-01-07',b'2014-01-07',b'real estate investment/development',b'lynn carley',"b'glenn jackson, c/o kva, inc.'"
61,0.882843051638,2013-12-20,2014-12-20,Richard Suttle,"Jewish Community Association of Austin, c/o Endeavor Real Estate Group",Real Estate Development,"221 West 6th Street, Suite 1300
Austin, Texas 78702
(30.26857366200045, -97.74469865799966)","b'221 west 6th street, suite 1300 austin, texas 78702 (30.26872, -97.745169)'",b'2016-01-06',b'2014-01-07',b'real estate development',b'lynn carley',"b'jewish community association of austin, c/o endeavor real estate group'"
76,0.880494258233,2013-12-20,2014-12-20,Richard Suttle,The Kucera Companies,Real Estate Investment/Development,"7200 North Mopac, Suite 450
Austin, Texas 78731
(30.354626939000468, -97.74807659399966)","b'7200 north mopac, suite 450 austin, texas 78731 (30.354874, -97.747853)'",b'2016-01-06',b'2014-01-07',b'real estate investment/development',b'lynn carley',b'the kucera companies'
79,0.897873384612,2013-12-20,2014-12-20,Richard Suttle,Meredith Family  Revocable Trust,Real Estate Development,"248 Addie Roy Road, Suite C200
Austin, Texas 78746
(30.31060362000045, -97.84440106999966)","b'248 addie roy road, suite c200 austin, texas 78746 (30.3105, -97.843566)'",b'2016-01-06',b'2014-01-07',b'real estate development',b'lynn carley',b'meredith family revocable trust'
80,0.942312300205,2013-12-20,2014-12-20,Richard Suttle,Lindy Moody,Private Property Owner,"3607 Pinnacle Road, Suite 5
Austin, Texas 78746
(30.27170879400046, -97.81110257999967)","b'3607 pinnacle road, suite 5 austin, texas 78746 (30.27170879400046, -97.81110257999967)'",b'2015-01-07',b'2014-01-07',b'private property owner',b'lynn carley',b'lindy moody'
82,0.917122391137,2013-12-20,2014-12-20,Richard Suttle,North Austin MUD No. 1,Municipal Utility District,"9517 Old McNeil Rd
Austin, Texas 78758
(30.378726120000465, -97.72408993199969)","b'9517 old mcneil rd austin, texas 78758'",b'2016-01-06',b'2014-01-07',b'municipal utility district',b'lynn carley',b'north austin mud no. 1'
1000,0.915584674903,2013-12-20,2014-12-20,Richard Suttle,Qualico,Real Estate Development,"7940 Shoal Creek, Suite 201
Austin, Texas 78757
(30.36252221300049, -97.74024883199968)","b'7940 shoal creek, suite 201 austin, texas 78757'",b'2016-01-06',b'2014-01-07',b'real estate development',b'lynn carley',b'qualico'
946,0.809231247753,2013-12-20,2014-12-20,Richard Suttle,Robinson Ranch,Ranching,"4900 Howard Lane
Austin, Texas 78728
(30.446445155000447, -97.71385998899967)","b'p.o. box 9556 austin, texas 78766'",b'2016-01-06',b'2015-01-20',"b'investment, development, zoning and related activities'",b'david armbrust',b'robinson ranch'
85,0.905895690123,2013-12-20,2014-12-20,Richard Suttle,Robert Schmidt,Private Property Owner,"3400 South Lamar Blvd
Austin, Texas 78704
(30.24079333600048, -97.78629749099969)","b'3400 south lamar blvd austin, texas 78704 (30.24079333600048, -97.78629749099969)'",b'2015-01-07',b'2014-01-07',b'private property owner',b'richard suttle',b'robert schmidt'
262,0.888871216774,2013-12-20,2014-12-20,Richard Suttle,James Schneider c/o J.R. Schneider Construction ,Private Property Owner,"P.O. Box 50325
Austin, Texas 78763
(30.29689283500045, -97.76702644799968)","b'p.o. box 50325 austin, texas 78763 (30.29689283500045, -97.76702644799968)'",b'2015-01-07',b'2014-01-07',b'private property owner',b'lynn carley',b'james schneider c/o j.r. schneider construction'
86,0.894554138184,2013-12-20,2014-12-20,Richard Suttle,St. Andrew's Episcopal School,School,"1112 West 31st Street
Austin, Texas 78705
(30.30162579600045, -97.74843902299966)","b'1112 west 31st street austin, texas 78705 (30.301644, -97.748453)'",b'2016-01-06',b'2014-01-07',b'school',b'lynn carley',"b""st. andrew's episcopal school"""
87,0.915753028222,2013-12-20,2014-12-20,Richard Suttle,Speedy Stop ,Real Estate Investment/Development,"P.O. Box 1876
Victoria, Texas 77902
(28.797261982000464, -97.00683731999965)","b'p.o. box 1876 victoria, texas 77902'",b'2016-01-06',b'2014-01-07',b'real estate investment/development',b'lynn carley',b'speedy stop'
88,0.927554824523,2013-12-20,2014-12-20,Richard Suttle,"Stubb's Austin Restaurant Company, LC c/o Reliable Construction Mgm Inc.",Restaurant,"5315B FM 1960 W No. 151
Houston, Texas 77069
(29.981196740000485, -95.5104414549997)","b'5315b fm 1960 w no. 151 houston, texas 77069'",b'2016-01-06',b'2014-01-07',b'restaurant',b'lynn carley',"b""stubb's austin restaurant company, lc c/o reliable construction mgm inc."""
993,0.246833201065,2013-12-20,2014-12-20,Richard Suttle,T. Stacy & Associates,Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)","b'823 congress avenue, suite 1111 austin, texas 78701 (30.270141, -97.742042)'",b'2016-01-06',b'2016-01-07',b'real estate development',b'lynn carley',"b'walton stacy office partners iv, l.p.'"
90,0.87528941461,2013-12-20,2014-12-20,Richard Suttle,The University of Texas System,University,"201 West 7th Street
Austin, Texas 78701
(30.269394458000477, -97.7440282819997)","b'201 west 7th street austin, texas 78701 (30.26942, -97.744005)'",b'2016-01-06',b'2014-01-07',b'university',b'lynn carley',b'the university of texas system'
92,0.882840867553,2013-12-20,2014-12-20,Richard Suttle,"Trudy's Texas Star, Inc.",Restaurant,"8133 Mesa, Suite 206
Austin, Texas 78759
(30.37365329500045, -97.75584513599966)","b'8133 mesa, suite 206 austin, texas 78759 (30.373461, -97.756062)'",b'2016-01-06',b'2014-01-07',b'restaurant',b'lynn carley',"b""trudy's texas star, inc."""
1006,0.88768696785,2013-12-20,2014-12-20,Richard Suttle,"Vivo Hospitality, LP",Restaurant,"2015 Manor Road
Austin, Texas 78722
(30.284033761000444, -97.7206077679997)","b'2015 manor road austin, texas 78722 (30.284033, -97.720526)'",b'2016-01-06',b'2014-01-07',b'restaurant',b'lynn carley',"b'vivo hospitality, lp'"
417,0.912695986884,2013-12-20,2014-12-20,Richard Suttle,W & G Partnership,Real Estate Development,"2700 Via Fortuna, Suite 140
Austin, Texas 78746
(30.25285417900045, -97.80036827599969)","b'2700 via fortuna, suite 140 austin, texas 78746'",b'2016-01-06',b'2014-01-07',b'real estate development',b'lynn carley',b'w & g partnership'
993,0.549725864516,2013-12-20,2014-12-20,Richard Suttle,"Walton Stacy Development Partners IV, LP",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)","b'823 congress avenue, suite 1111 austin, texas 78701 (30.270141, -97.742042)'",b'2016-01-06',b'2016-01-07',b'real estate development',b'lynn carley',"b'walton stacy office partners iv, l.p.'"
993,0.561692666869,2013-12-20,2014-12-20,Richard Suttle,"Walton Stacy LF Land Partners, LP",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)","b'823 congress avenue, suite 1111 austin, texas 78701 (30.270141, -97.742042)'",b'2016-01-06',b'2016-01-07',b'real estate development',b'lynn carley',"b'walton stacy office partners iv, l.p.'"
993,0.56875258199,2013-12-20,2014-12-20,Richard Suttle,"Walton Stacy Office Partners IV, L.P.",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)","b'823 congress avenue, suite 1111 austin, texas 78701 (30.270141, -97.742042)'",b'2016-01-06',b'2016-01-07',b'real estate development',b'lynn carley',"b'walton stacy office partners iv, l.p.'"
993,0.5648690573,2013-12-20,2014-12-20,Richard Suttle,"Walton Stacy Office Partners V, L.P.",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)","b'823 congress avenue, suite 1111 austin, texas 78701 (30.270141, -97.742042)'",b'2016-01-06',b'2016-01-07',b'real estate development',b'lynn carley',"b'walton stacy office partners iv, l.p.'"
766,0.892221357141,2013-12-20,2014-12-20,Richard Suttle,Westbank Community Library District ,Real Estate Development,"1309 Westbank Drive
Austin, Texas 78746
(30.274323970000466, -97.81182388599967)","b'1309 westbank drive austin, texas 78746 (30.274388, -97.811838)'",b'2016-01-06',b'2014-01-07',b'real estate development',b'lynn carley',b'westbank community library district'
96,0.834345738093,2013-12-20,2014-12-20,Richard Suttle,White Lodging Services Corp,Real Estate Development,"1000 East 80th Place, Suite 700 North
Merrillville, Indiana 46410
(41.47392784700048, -87.32984073299968)","b'1000 east 80th place, suite 700 north merrillville, indiana 46410 (41.47394, -87.327691)'",b'2016-01-06',b'2015-01-06',b'real estate development',"b'derlis ""trey salinas iii'",b'white lodging services corp'
98,0.904032993317,2013-12-20,2014-12-20,Richard Suttle,Randy Wilson c/o Randy Leavitt,Private Property Owner,"1301 Rio Grande
Austin, Texas 78701
(30.277239987000485, -97.74676189999968)","b'1301 rio grande austin, texas 78701 (30.277239987000485, -97.74676189999968)'",b'2015-01-07',b'2014-01-07',b'private property owner',b'lynn carley',b'randy wilson c/o randy leavitt'
100,0.832132583857,2013-12-20,2014-12-20,Richard Suttle,Google Inc.,Provides internet related products and services,"2350 Kerner Boulevard, Suite 250
San Rafael, California 94901
(37.94720506900046, -122.4886642509997)","b'2350 kerner boulevard, suite 250 san rafael, california 94901 (37.947381, -122.488915)'",b'2016-01-06',b'2015-01-06',b'provides internet related products and services',b'gerardo interiano',b'google inc.'
949,0.874763331243,2013-12-20,2014-12-20,Richard Suttle,Stream Realty,Real Estate,"400 West 15th St., Ste 1250
Austin, Texas 78701
(30.275937137000483, -97.73568411699966)","b'400 west 15th st., ste 1250 austin, texas 78701 (30.278024, -97.743199)'",b'2016-01-06',b'2014-01-07',b'real estate',b'lynn carley',b'stream realty'
102,0.897091661181,2013-12-20,2014-12-20,Richard Suttle,Flextronics,Real Estate/Investment,"300 Santana Row, 5th Floor
San Jose, California 95128
(37.32319086500047, -121.94774809799969)","b'300 santana row, 5th floor san jose, california 95128 (37.322879, -121.947786)'",b'2016-01-06',b'2014-01-07',b'real estate/investment',b'lynn carley',b'flextronics'
104,0.882832169533,2013-12-20,2014-12-20,Richard Suttle,EHB Companies,Real Estate Investment/Development,"9755 West Charleston Blvd
Las Vegas, Nevada 89117
(36.158874556000455, -115.30851806699968)","b'9755 west charleston blvd las vegas, nevada 89117 (36.158893, -115.311574)'",b'2016-01-06',b'2014-01-07',b'real estate investment/development',b'lynn carley',b'ehb companies'
