63.0,Practice of Law,legal,,
68.0,Sand and gravel mining,mining,,
89.0,Non- Profit,non-profit,,
146.0,Non-Profit,non-profit,,
264.0,Non-Profit Company,non-profit,,
155.0,Non-Profit Educational Charity,non-profit,education,
159.0,Non-profit,non-profit,,
150.0,Non-profit Public Health Organization,non-profit,public health,
196.0,Not-for-profit entity for dev. of Waller Creek Project.,non-profit,property development,parks
267.0,1023 Springdale TIA/Zoning,other,,
142.0,Parks and Trails,parks,,
136.0,Apartment Management,property management,,
152.0,Home Owner,property management,,
211.0,Homebuilder,property management,,
107.0,Homeowner,property management,,
84.0,Property Management,property management,,
21.0,Property Management; Real Estate Services,property management,,
28.0,Property Owner,property management,,
199.0,Property Owner/ Developer,property management,,
57.0,Property Owner/Developer,property management,,
5.0,Real Estate,real estate,,
255.0,Real Estate Broker,real estate,,
56.0,Real Estate Develoment,real estate,,
32.0,Real Estate Developement,real estate,,
50.0,Real Estate Developer,real estate,,
256.0,Real Estate Developers,real estate,,
4.0,Real Estate Development,real estate,,
121.0,Real Estate Entitlement,real estate,,
2.0,Real Estate Investment,real estate,,
218.0,Real Estate Investment Management,real estate,,
8.0,Real Estate Investment/ Development,real estate,,
1.0,Real Estate Investment/Development,real estate,,
27.0,Real Estate Investment/Development (Canada M5J2TE Address),real estate,,
116.0,Real Estate Investor,real estate,,
141.0,Real Estate and Non-Profit,real estate,non-profit,
183.0,Real Estate investment/ development,real estate,,
20.0,Real Estate/Investment,real estate,,
65.0,Real estate development,real estate,,
221.0,Real estate related issues,real estate,,
12.0,Religious Assembly,religious,,
6.0,Religious Assembly/Education,religious,,
66.0,Religious Organization,religious,,
294.0,Short Term Rentals,rental,short term,
287.0,Short term rentals,rental,short term,
17.0,Restaurant,restaurant,,
7.0,Restaurant Association,restaurant,,
171.0,Restaurant Operator,restaurant,,
250.0,Restaurant Owner,restaurant,,
25.0,Restaurant/Bar,restaurant,,
301.0,Restaurants,restaurant,,
46.0,Retail Merchant,retail,,
79.0,Retail Sales,retail,,
72.0,Quick Food Service,service,food,
44.0,High Tech,technology,,
98.0,Technology,technology,,
70.0,Technology/Secure Data Storage,technology,data,
275.0,Tourism,tourism,,
37.0,Parking,transportation,parking,
279.0,Parking Enforcement,transportation,parking,
145.0,Taxi Cab,transportation,services,
127.0,Taxicab,transportation,services,
194.0,Taxicab Company,transportation,services,
119.0,Zoning,zoning,,
265.0,Zoning Issues,zoning,,
302.0,"Zoning, subdivision, affordable housing",zoning,,
120.0,Zoning/Land Development,zoning,,
148.0,Zonng,zoning,,
277.0,Affordable Housing,,,
149.0,Land Developement,,,
