CLIENT_ID,REPORT_ID,REGISTRANT_ID,CLIENTENTITY_CD,CLIENT_TITLE,CLIENT_FIRST_NAME,CLIENT_MI,CLIENT_LAST_NAME,CLIENT_SUFFIX,CLIENT_ADR1,CLIENT_ADR2,CLIENT_CITY,CLIENT_STATE,CLIENT_ZIP,BUSINESS_DESC,COMP_CATEGORY,COMP_EXACT_AMOUNT,COMP_COMMENT,Row_ID
C0011,R20170721094806,RG0035,Entity,,,,"F. Scott Holdings, LLC",,4501 Ridge Oak Drive,,Austin,TX,78731,Property Owner,,,,R20170721094806-C0011
C0012,R20170721094806,RG0035,Entity,,,,"Forestar (USA) Real Estate Group, Inc.",,6300 Bee Cave Road,"Building Two, Suite 500",Austin,TX,78746,Developer,,,,R20170721094806-C0012
C0013,R20170721094806,RG0035,Entity,,,,"IMPACT Developers, LLC",,6000 S. Congress Avenue,Suite 101,Austin,TX,78745,Developer,,,,R20170721094806-C0013
C0014,R20170721094806,RG0035,Entity,,,,"Journeyman Austin Holdings, Inc.",,7701 N. Lamar Blvd.,Suite 100,Austin,TX,78752,Developer,,,,R20170721094806-C0014
C0015,R20170721094806,RG0035,Entity,,,,"Lippincott Capital, Ltd.",,2322 Townes Lane,,Austin,TX,78703,Property Owner,,,,R20170721094806-C0015
C0016,R20170721094806,RG0035,Entity,,,,Lost Creek Neighborhood Association,,1305 Quaker Ridge,Suite A,Austin,TX,78746,Neighborhood Association,,,,R20170721094806-C0016
C0017,R20170721094806,RG0035,Individual,,Jesse,L.,Lunsford,,3235 E. Cesar Chavez Street,,Austin,TX,78702,Property Owner,,,,R20170721094806-C0017
C0018,R20170721094806,RG0035,Individual,,Daniel,R.,Mitchell,,2311 Lafayette,,Austin,TX,78722,Property Owner,,,,R20170721094806-C0018
C0019,R20170721094806,RG0035,Individual,,Sohil,,Momin,,2201 Real Catorce,,Austin,TX,78746,Property Owner,,,,R20170721094806-C0019
C0020,R20170721094806,RG0035,Entity,,,,MTG Management,,P.O. Box 6110,,Austin,TX,78761,Commercial Real Property Management,,,,R20170721094806-C0020
C0021,R20170721094806,RG0035,Individual,,Carolyn,Elizabeth,Neal,,4501 Ridge Oak Drive,,Austin,TX,78731,Property Owner,,,,R20170721094806-C0021
C0022,R20170721094806,RG0035,Individual,,Frances,Scott,Neal,,4501 Ridge Oak Drive,,Austin,TX,78731,Property  Owner,,,,R20170721094806-C0022
C0023,R20170721094806,RG0035,Individual,,John,Scott,Neal,,4501 Ridge Oak Drive,,Austin,TX,78731,Property Owner,,,,R20170721094806-C0023
C0024,R20170721094806,RG0035,Entity,,,,Neal (Shoal Creek Property) Family Limited Partnership,,4501 Ridge Oak Drive,,Austin,TX,78731,Property Owner,,,,R20170721094806-C0024
C0025,R20170721094806,RG0035,Entity,,,,Pinnacle Real Estate & Management Company,,3508 Far West Blvd.,Suite 170,Austin,TX,78731,Developer,,,,R20170721094806-C0025
C0032,R20170721094806,RG0035,Entity,,,,Victory Medical Center,,4303 Victory Center,,Austin,TX,78704,Medical Services,,,,R20170721094806-C0032
C0033,R20170721094806,RG0035,Individual,,Marcus,,Whitfield,,1101 S. Capital of Texas Hwy,Suite A-101,Austin,TX,78746,Property Owner,,,,R20170721094806-C0033
C0034,R20170721094806,RG0035,Individual,,Jim,C.,Whorton,,1200 Barton Creek Blvd.,Suite 52,Austin,TX,78746,Property Owner,,,,R20170721094806-C0034
C0035,R20170721094806,RG0035,Individual,,Wenkai,,Chen,,8407 Cambria Drive,,Austin,TX,78717,Property Owner,,,,R20170721094806-C0035
C0036,R20170721094806,RG0035,Entity,,,,"Krug Development, Inc.",,4866 N. Clark Street,,Chicago,IL,60640,Property Owner,,,,R20170721094806-C0036
C0001,R20170721113241,RG0062,Entity,,,,Investors Alliance,,300 Bowie Street,100A,Austin,TX,78703,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170721113241-C0001
C0001,R20170724105720,RG0092,Entity,,,,SKINNY LABS,,435 CHINA BASIN ST,421,SAN FRANCISCO,CA,94158,"SOLID WASTE DISPOSAL, HAULING AND RECYCLING",,,,R20170724105720-C0001
C0001,R20170803121422,RG0115,Entity,,,,Save Our Springs Alliance,,905 W. Oltorf,A,Austin,TX,78704,Environmental non-profit corporation,,,,R20170803121422-C0001
C0002,R20170803121422,RG0115,Entity,,,,Save Our City Austin,,309 E. 11th Street,Suite 2,Austin,TX,78701,Social Justice nonprofit organization,,,,R20170803121422-C0002
C0001,R20170814091805,RG0114,Entity,,,,Grant Thornton,,1016 La Posada #280,,Austin,TX,78752,"Independent audit, tax and advisory",,,,R20170814091805-C0001
C0002,R20170814091805,RG0114,Entity,,,,HDI Solutions,,1510 Pumphrey Ave,,Alburn,AL,36832,Database solutions,,,,R20170814091805-C0002
C0003,R20170814091805,RG0114,Entity,,,,LeFleur Transportation,,219 Industrial Dr.,,Ridgeland,MS,39157,Transportation services,,,,R20170814091805-C0003
C0004,R20170814091805,RG0114,Entity,,,,McKinstry,,13465 Midway Rd #100,,Dallas,TX,75244,Facility services,,,,R20170814091805-C0004
C0005,R20170814091805,RG0114,Entity,,,,Oracle America Inc.,,2350 Kerner Blvd #250,,San Rafael,CA,94901,Software applications,,,,R20170814091805-C0005
C0001,R20170814094340,RG0112,Entity,,,,Home Builders Association of Greater Austin,,8140 Exchange Dr,,Austin,TX,78754,Trade association,,,,R20170814094340-C0001
