Start,End,Lobbyist,Client,Industry,ClientAddress
2013-12-20,2014-12-20,Richard Suttle,Austin Baptist Church c/o Tom Stacy ,Religious Assembly/Education,"823 Congress Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2013-12-20,2014-12-20,Richard Suttle,"4800 Friedrich Lane, LLC",Real Estate Investment/Development,"2011 West Rutland
Austin, Texas 78758
(30.37871287900049, -97.70960915399968)"
2013-12-20,2014-12-20,Richard Suttle,Amstar Group,Real Estate Investment/Development,"1050 17th Street, Suite 1200
Denver, Colorado 80265
(39.7485865970005, -104.99422913999967)"
2013-12-20,2014-12-20,Richard Suttle,Austin Restaurant Association ,Restaurant Association,"11309 Pickfair Drive
Austin, Texas 78750
(30.442461567000464, -97.80806812299966)"
2013-12-20,2014-12-20,Richard Suttle,Blenheim Corporation,Real Estate Investment/ Development,"5949 Sherry Lane, Suite 1230
Dallas, Texas 75225
(32.86232755500049, -96.81010002499966)"
2013-12-20,2014-12-20,Richard Suttle,"Capital Commercial Investments, Inc. ",Real Estate Investment/Development,"720 Brazos Street, Suite 900
Austin, Texas 78701
(30.269170605000454, -97.7409701359997)"
2013-12-20,2014-12-20,Richard Suttle,"Carma Texas, Incorporated ",Real Estate Investment/Development,"9737 Great Hills Trail, Suite 260
Austin, Texas 78759
(30.39442428500047, -97.75220899899966)"
2013-12-20,2014-12-20,Richard Suttle,Circuit of the Americas LP,Sports and Special Events Productions,"301 Congess Avenue Suite 220
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2013-12-20,2014-12-20,Richard Suttle,Concordia University,Education,"3400 North IH-35
Austin, Texas 78705
(30.292743355000482, -97.74027859399968)"
2013-12-20,2014-12-20,Richard Suttle,"CWS Capital Partners, LLC",Real Estate Development,"9606 North Mopac Expressway, Suite 500
Austin, Texas 78759
(30.38604814000047, -97.73592099899969)"
2013-12-20,2014-12-20,Richard Suttle,Cypress Real Estate Advisors,Real Estate Investment/Development,"301 Congress Avenue, Suite 550
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2013-12-20,2014-12-20,Richard Suttle,Cypress Realty V Limited Partnership c/o Cypress Real Estate Advisors,Real Estate Investment/Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2013-12-20,2014-12-20,Richard Suttle,"Cypress Realty VI Limited Partnership, c/o Cypress Real Estate Advisors",Real Estate Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2013-12-20,2014-12-20,Richard Suttle,Endeavor Real Estate Group,Real Estate Investment/Development,"221 West 6th Street, Suite 1300
Austin, Texas 78702
(30.26857366200045, -97.74469865799966)"
2013-12-20,2014-12-20,Richard Suttle,Episcopal Theological Seminary of the Southwest,Religious Assembly/Education,"P. O. Box 2247
Austin, Texas 78768
(30.270131946000447, -97.7419688009997)"
2013-12-20,2014-12-20,Richard Suttle,Four Seasons Hotel,Hotel,"98 San Jacinto Boulevard
Austin, Texas 78701
(30.262322349000442, -97.74231207299965)"
2013-12-20,2014-12-20,Richard Suttle,The Gottesman Company,Real Estate Investment/Development,"600 Congress Avenue, Suite 400
Austin, Texas 78701
(30.268231368000443, -97.74280004999969)"
2013-12-20,2014-12-20,Richard Suttle,Hyde Park Baptist Church,Religious Assembly,"3901 Speedway
Austin, Texas 78751
(30.302484493000463, -97.73230499699969)"
2013-12-20,2014-12-20,Richard Suttle,"Glenn Jackson, c/o KVA, Inc.",Real Estate Investment/Development,"P.O. Box 201687
Austin, Texas 78720
(30.424162391000436, -97.7569981749997)"
2013-12-20,2014-12-20,Richard Suttle,"Jewish Community Association of Austin, c/o Endeavor Real Estate Group",Real Estate Development,"221 West 6th Street, Suite 1300
Austin, Texas 78702
(30.26857366200045, -97.74469865799966)"
2013-12-20,2014-12-20,Richard Suttle,The Kucera Companies,Real Estate Investment/Development,"7200 North Mopac, Suite 450
Austin, Texas 78731
(30.354626939000468, -97.74807659399966)"
2013-12-20,2014-12-20,Richard Suttle,Meredith Family  Revocable Trust,Real Estate Development,"248 Addie Roy Road, Suite C200
Austin, Texas 78746
(30.31060362000045, -97.84440106999966)"
2013-12-20,2014-12-20,Richard Suttle,Lindy Moody,Private Property Owner,"3607 Pinnacle Road, Suite 5
Austin, Texas 78746
(30.27170879400046, -97.81110257999967)"
2013-12-20,2014-12-20,Richard Suttle,North Austin MUD No. 1,Municipal Utility District,"9517 Old McNeil Rd
Austin, Texas 78758
(30.378726120000465, -97.72408993199969)"
2013-12-20,2014-12-20,Richard Suttle,Qualico,Real Estate Development,"7940 Shoal Creek, Suite 201
Austin, Texas 78757
(30.36252221300049, -97.74024883199968)"
2013-12-20,2014-12-20,Richard Suttle,Robinson Ranch,Ranching,"4900 Howard Lane
Austin, Texas 78728
(30.446445155000447, -97.71385998899967)"
2013-12-20,2014-12-20,Richard Suttle,Robert Schmidt,Private Property Owner,"3400 South Lamar Blvd
Austin, Texas 78704
(30.24079333600048, -97.78629749099969)"
2013-12-20,2014-12-20,Richard Suttle,James Schneider c/o J.R. Schneider Construction ,Private Property Owner,"P.O. Box 50325
Austin, Texas 78763
(30.29689283500045, -97.76702644799968)"
2013-12-20,2014-12-20,Richard Suttle,St. Andrew's Episcopal School,School,"1112 West 31st Street
Austin, Texas 78705
(30.30162579600045, -97.74843902299966)"
2013-12-20,2014-12-20,Richard Suttle,Speedy Stop ,Real Estate Investment/Development,"P.O. Box 1876
Victoria, Texas 77902
(28.797261982000464, -97.00683731999965)"
2013-12-20,2014-12-20,Richard Suttle,"Stubb's Austin Restaurant Company, LC c/o Reliable Construction Mgm Inc.",Restaurant,"5315B FM 1960 W No. 151
Houston, Texas 77069
(29.981196740000485, -95.5104414549997)"
2013-12-20,2014-12-20,Richard Suttle,T. Stacy & Associates,Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2013-12-20,2014-12-20,Richard Suttle,The University of Texas System,University,"201 West 7th Street
Austin, Texas 78701
(30.269394458000477, -97.7440282819997)"
2013-12-20,2014-12-20,Richard Suttle,"Trudy's Texas Star, Inc.",Restaurant,"8133 Mesa, Suite 206
Austin, Texas 78759
(30.37365329500045, -97.75584513599966)"
2013-12-20,2014-12-20,Richard Suttle,"Vivo Hospitality, LP",Restaurant,"2015 Manor Road
Austin, Texas 78722
(30.284033761000444, -97.7206077679997)"
2013-12-20,2014-12-20,Richard Suttle,W & G Partnership,Real Estate Development,"2700 Via Fortuna, Suite 140
Austin, Texas 78746
(30.25285417900045, -97.80036827599969)"
2013-12-20,2014-12-20,Richard Suttle,"Walton Stacy Development Partners IV, LP",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2013-12-20,2014-12-20,Richard Suttle,"Walton Stacy LF Land Partners, LP",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2013-12-20,2014-12-20,Richard Suttle,"Walton Stacy Office Partners IV, L.P.",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2013-12-20,2014-12-20,Richard Suttle,"Walton Stacy Office Partners V, L.P.",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2013-12-20,2014-12-20,Richard Suttle,Westbank Community Library District ,Real Estate Development,"1309 Westbank Drive
Austin, Texas 78746
(30.274323970000466, -97.81182388599967)"
2013-12-20,2014-12-20,Richard Suttle,White Lodging Services Corp,Real Estate Development,"1000 East 80th Place, Suite 700 North
Merrillville, Indiana 46410
(41.47392784700048, -87.32984073299968)"
2013-12-20,2014-12-20,Richard Suttle,Randy Wilson c/o Randy Leavitt,Private Property Owner,"1301 Rio Grande
Austin, Texas 78701
(30.277239987000485, -97.74676189999968)"
2013-12-20,2014-12-20,Richard Suttle,Google Inc.,Provides internet related products and services,"2350 Kerner Boulevard, Suite 250
San Rafael, California 94901
(37.94720506900046, -122.4886642509997)"
2013-12-20,2014-12-20,Richard Suttle,Stream Realty,Real Estate,"400 West 15th St., Ste 1250
Austin, Texas 78701
(30.275937137000483, -97.73568411699966)"
2013-12-20,2014-12-20,Richard Suttle,Flextronics,Real Estate/Investment,"300 Santana Row, 5th Floor
San Jose, California 95128
(37.32319086500047, -121.94774809799969)"
2013-12-20,2014-12-20,Richard Suttle,EHB Companies,Real Estate Investment/Development,"9755 West Charleston Blvd
Las Vegas, Nevada 89117
(36.158874556000455, -115.30851806699968)"
2013-12-20,2014-12-20,Richard Suttle,Highland Resources,Real Estate,"211 E 7th Street, Suite 709
Austin, Texas 78701
(30.26843390200048, -97.74058875699967)"
2013-12-20,2014-12-20,Richard Suttle,"183 BLW, LP",Real Estate Investment,"P.O. Box 9190
Austin, Texas 78766
(30.354472848000455, -97.73618994399965)"
2013-12-20,2014-12-20,Richard Suttle,REIT Management,Real Estate Developement,"Two Newton Place 255 Washington Street, Suite 300
Newton, Maine 02458
(42.35460028200049, -71.18911878999967)"
2013-12-20,2014-12-20,Richard Suttle,"Accelerator Holdings, LLC",Real Estate Investment/Development,"301 Congress Avenue, Suite 220
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2013-12-20,2014-12-20,Richard Suttle,Radisson Hotel ,Hotel,"111 East Cesar Chavez at Congress
Austin, Texas 78701
(30.263153804000467, -97.74392760699965)"
2013-12-20,2014-12-20,Richard Suttle,REIT Management and Research LLC,Property Management,"Two Newton Place 255 Washington Street, Suite 300
Newton, Massachusetts 02458
(42.35460028200049, -71.18911878999967)"
2013-12-20,2014-12-20,Richard Suttle,"AvalonPark Texas, L.P.",Real Estate Investment/Development,"3680 Avalon Park East Boulevard, Suite 300
Orlando, Florida 32828
(28.51152695200045, -81.15417057599967)"
2013-12-20,2014-12-20,Richard Suttle,Deborah & Gary Attal,Private Property Owner,"4306 Rosedale Avenue
Austin, Texas 78756
(30.31382758300049, -97.74378547799967)"
2013-12-20,2014-12-20,Richard Suttle,David Booth,Real Estate Investment/Development,"1299 Ocean Avenue, 11th Floor
Santa Monica, California 90401
(34.01551134200048, -118.49969839999972)"
2013-12-20,2014-12-20,Richard Suttle,Brock Consulting Group,Real Estate Investment/Development,"P. O. Box 160340
Austin, Texas 78716
(30.273521050000454, -97.79924900799966)"
2013-12-20,2014-12-20,Richard Suttle,The Brohn Group,Real Estate Investment/Development,"3121 Wild Canyon Loop
Austin, Texas 78730
(30.377523944000473, -97.90791503299965)"
2013-12-20,2014-12-20,Richard Suttle,Gene Burris,Real Estate Investment/Development,"180 West Caldwood
Beaumont, Texas 77707
(30.07726072400044, -94.1585919529997)"
2013-12-20,2014-12-20,Richard Suttle,"Creek 620, L.P. c/o Curtis Davidson",Real Estate Investment/Development,"3809 Juniper Trace
Austin, Texas 78738
(30.30798370600047, -97.93439369299966)"
2013-12-20,2014-12-20,Richard Suttle,"Crescent 210 Barton Springs, LLC",Real Estate Investment/Development,"2101 Lakeway Boulevard, Suite 230
Lakeway, Texas 78734
(30.357573750000483, -97.9785034739997)"
2013-12-20,2014-12-20,Richard Suttle,"CRV Shoreline, L.P.",Real Estate Investment/Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2013-12-20,2014-12-20,Richard Suttle,"Cypress VI Reit, Inc. ",Real Estate Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2013-12-20,2014-12-20,Richard Suttle,Charles Dorrance ,Private Property Owner,"12434 FM 2244
Austin, Texas 78738
(30.305278515000452, -97.93416273299965)"
2013-12-20,2014-12-20,Richard Suttle,The Dovetail Companies ,Real Estate Investment/Development,"1550 Timothy Road, Suite 201
Athens, Georgia 30606
(33.93375747200048, -83.43629209999966)"
2013-12-20,2014-12-20,Richard Suttle,"Dwyer Realty Companies, Inc.",Land Development,"9900 Highway 290, East
Manor, Texas 78653
(30.33737591500045, -97.60087865599968)"
2013-12-20,2014-12-20,Richard Suttle,Jeffery C. Garvey,Private Property Owner/Real Estate Investment/Development,"3907 Balcones Drive
Austin, Texas 78731
(30.318476390000455, -97.7656295439997)"
2013-12-20,2014-12-20,Richard Suttle,General Investment and Development Company,Real Estate Investment/Development,"125 High Street, 27th Floor
Boston, Massachusetts 01220
(42.37846011000045, -71.06633011199966)"
2013-12-20,2014-12-20,Richard Suttle,Bob Gregory c/o Texas Disposal Systems,Real Estate Investment/Development,"P.O. Box 17126
Austin, Texas 78760
(30.213851089000457, -97.73350907599968)"
2013-12-20,2014-12-20,Richard Suttle,"HSD Lakeway Holdings, LTD",Real Estate Investment/Development,"2101 Lakeway Boulevard, Suite 205
Austin, Texas 78734
(30.357573750000483, -97.9785034739997)"
2013-12-20,2014-12-20,Richard Suttle,Liz Lambert,Private Property Owner/Real Estate Investment/Development,"1316 South Congress
Austin, Texas 78704
(30.25055168600045, -97.7493794449997)"
2013-12-20,2014-12-20,Richard Suttle,"Makar Properties, LLC.",Real Estate Investment/Development,"3809 Juniper Trace, Suite 203
Austin, Texas 78738
(30.30798370600047, -97.93439369299966)"
2013-12-20,2014-12-20,Richard Suttle,"P&S Investments I, LLC",Real Estate Investment/ Development,"8208 Long Canyon
Austin, Texas 78730
(30.371567549000474, -97.81519589899966)"
2013-12-20,2014-12-20,Richard Suttle,Eric Reddehase,Real Estate Investment/Development,"715 Golf Crest Lane
Austin, Texas 78734
(30.364215919000458, -97.96389141299966)"
2013-12-20,2014-12-20,Richard Suttle,Scott Sayers,Real Estate Investment/Development,"1800 Nueces
Austin, Texas 78701
(30.28134159700045, -97.74413014199968)"
2013-12-20,2014-12-20,Richard Suttle,Christopher Slover,Private Property Owner,"2011 Rutland Drive
Austin, Texas 78758
(30.38007516300047, -97.71485272199965)"
2013-12-20,2014-12-20,Richard Suttle,Speakeasy ,Restaurant/Bar,"P.O. Box 684847
Austin, Texas 78768
(30.270131946000447, -97.7419688009997)"
2013-12-20,2014-12-20,Richard Suttle,Tanglewood Forest Limited District c/o Pinnacle Texas Mgmt Services   ,Limited District,"7301 Ranch Road 620 North, Suite 155
Austin, Texas 78726
(30.366424019000476, -97.95095795599968)"
2013-12-20,2014-12-20,Richard Suttle,"Walton International Group (USA), Incorporated",Real Estate Investment/Development (Canada M5J2TE Address),"Bay Wellington Tower, Suite 3630 Bce Pl, 181 Bay Street
Toronto,Ontario
(39.52368635500045, -99.11415045099966)"
2013-12-20,2014-12-20,Richard Suttle,"Cirrus Logic, Inc.",Real Estate Development,"2901 Via Fortuna
Austin, Texas 78746
(30.25111072800047, -97.80056133499966)"
2013-12-20,2014-12-20,Richard Suttle,Austin Acheive,Public School,"5908 Manor Road
Austin, Texas 78723
(30.30705749800046, -97.67971484299966)"
2013-12-20,2014-12-20,Richard Suttle,IDEA Public Schools,Public School,"1822 W. Braker Lane #81734
Austin, Texas 78708
(30.391266649000443, -97.70551957399965)"
2013-12-20,2014-12-20,Richard Suttle,KIPP Austin Public School,Public School,"8509 FM 969, Bldg 513
Austin, Texas 78757
(30.27703626900046, -97.6376552749997)"
2013-12-20,2014-12-20,Richard Suttle,Seton,Real Estate,"1615 Poydras St., Suite 2273
New Orleans, Louisiana 70112
(29.952545951000445, -90.08011908699967)"
2013-12-20,2014-12-20,Richard Suttle,Urban Outfitters,Real Estate,"5000 South Broad Street
Philadelphia, Pennsylvania 19112
(39.88993802600049, -75.17589250399965)"
2013-12-20,2014-12-20,Richard Suttle,Riverside Resources,Property Owner/Developer,"100 Congress Avenue, Suite 780
Austin, Texas 78701
(30.26395091200044, -97.7443303069997)"
2013-12-20,2014-12-20,Richard Suttle,Taylor Morrison ,Developer,"11200 Lakeline Blvd., Suite 150A
Austin, Texas 78717
(30.480108025000447, -97.79748542299967)"
2013-12-20,2014-12-20,Richard Suttle,Gables Residential,Real Estate Investment,"6850 Austin Center Blvd., Ste 200
Austin, Texas 78731
(30.35131177700049, -97.7513810969997)"
2013-12-20,2014-12-20,Richard Suttle,Ryan Street & Associates,Real Estate,"2141 Exposition Blvd., Ste B-140
Austin, Texas 78703
(30.295499105000488, -97.76893346699967)"
2013-12-20,2014-12-20,Richard Suttle,G5 Investments LLC,Real Estate Investment,"5515 Balcones Drive
Austin, Texas 78731
(30.336602594000453, -97.75763714799967)"
2013-12-20,2014-12-20,Richard Suttle,Jim Gallegos,Real Estate,"5515 Balcones Drive
Austin, Texas 78731
(30.336602594000453, -97.75763714799967)"
2013-12-20,2014-12-20,Richard Suttle,"Onion Associates, Ltd c/o Point West Properties",Real Estate,"PO Box 1090
Kyle, Texas 78640
(29.99945113800044, -97.84458914099969)"
2013-12-20,2014-12-20,Richard Suttle,Austin Quality Schools Collaborative,Public School,"PO Box 163991
Austin, Texas 78716
(30.273521050000454, -97.79924900799966)"
2013-12-20,2014-12-20,Richard Suttle,Magnolia Montessori for all,Public School,"7302 Blinn Circle
Austin, Texas 78723
(30.322264133000488, -97.6769291119997)"
2010-12-16,2011-12-16,Sarah Crocker ,MU 13,Developer,"7200 Mopac, Suite 400
Austin, Texas 78731
(30.308960862000447, -97.75720579499966)"
2010-12-16,2011-12-16,Sarah Crocker ,1600 West 38th LTD,Developer,"7200 Mopac, Suite 400
Austin, Texas 78731
(30.308960862000447, -97.75720579499966)"
2010-12-16,2011-12-16,Sarah Crocker ,Travis Entitlements LLC,Land Use Development,"7200 North Mopac, Suite 400
Austin, Texas 78731
(30.354626939000468, -97.74807659399966)"
2011-11-18,2012-11-17,Snapper Carr,Connecticut General Life Insurance Company,Healthcare Providor,"900 Cottage Grove Road
Hartford, Connecticut 06152
(41.790870579000455, -72.66109802799963)"
2011-11-18,2012-11-17,Brandon Aghamalian,Connecticut General Life Insurance Company,Healthcare Providor,"900 Cottage Grove Road
Hartford, Connecticut 06152
(41.790870579000455, -72.66109802799963)"
2013-10-28,2014-10-28,Michele Haussmann         ,"MPVI, LLC",Real Estate Development,"3555 Lost Creek Blvd.
Austin, Texas
(30.274053926000477, -97.85971193299969)"
2013-10-28,2014-10-28,Michele Haussmann         ,MBC Engineers,Real Estate Development,"1035 Central Parkway North
San Antonio, Texas 78232
(29.571421210000437, -98.47766785699969)"
2013-10-28,2014-10-28,Michele Haussmann         ,American Campus Communities,Real Estate Developement,"12700 Hill Country Boulevard, Suite T-200
Austin, Texas
(30.308386405000476, -97.93879022199968)"
2013-10-28,2014-10-28,Michele Haussmann         ,Austin Fairchild Management,Real Estate Developement,"101 West 6th Street, Suite 340
SanAntonio, Texas 78701
(30.267963692000478, -97.7426081749997)"
2013-10-28,2014-10-28,Michele Haussmann         ,Amplify Federal Credit Union,Real Estate Development,"PO Box 85300
Austin, Texas 78758
(30.383593075000476, -97.70797782299968)"
2013-10-28,2014-10-28,Michele Haussmann         ,6ixth Street Austin,Real Estate Development,"525 E. Sixth Street
Austin, Texas 78701
(30.266554244000474, -97.73747731299966)"
2012-10-22,2013-10-22,Donald Martin,American Constructors,Construction,"4330 Gaines Loop, suite 230
Austin, Texas 78735
(30.241542620000473, -97.81826925699966)"
2012-10-22,2013-10-22,Donald Martin,Journeyman Construction,Construction,"7701 N. Lamar
Austin, Texas 78752
(30.34511020900044, -97.7138293919997)"
2012-10-22,2013-10-22,Donald Martin,Fineline Diversified Developement,Real Estate,"201 Main, Suite 3100
Fort Worth, Texas 76102
(32.755968761000474, -97.33213564499965)"
2012-10-22,2013-10-22,Donald Martin,Spurs Sports and Entertainment,Entertainment,"One AT&amp;T Center
San Antonio, Texas 78219
(29.449173571000472, -98.40154932599967)"
2012-10-22,2013-10-22,Donald Martin,OHL/Zachary,Construction,"9725 NW 117th Street, Suite 105
Miami, Florida 33178
(25.86402100100048, -80.38675016799965)"
2012-10-22,2013-10-22,Donald Martin,Don Martin Public Affairs,Public Affairs,"901 Rio Grande, Suite 203
Austin, Texas 78701
(30.273049547000483, -97.74830163199965)"
2012-10-22,2013-10-22,Donald Martin,"Brightman Energy, LLC",Electric Energy Provider,"100 Congress, Suite 2000
Austin, Texas 78701
(30.26395091200044, -97.7443303069997)"
2012-10-22,2013-10-22,Donald Martin,"Lynxs, LLC",Parking,"106 East 6th Street, Suite 550
Austin, Texas 78701
(30.267947110000478, -97.7423428679997)"
2012-10-22,2013-10-22,Donald Martin,"OHL, USA",Real Estate,"9725 NW 117th Ave, Suite 105
Miami, Florida 33178
(25.86402100100048, -80.38675016799965)"
2011-10-21,2012-10-20,Jack Kirfman,AFSCME 1624,Labor Union,"7901 Cameron Road
Austin, Texas 78754
(30.33314411800046, -97.68587495699967)"
2011-10-21,2012-10-20,Jack Kirfman,Austin AFL CIO,Union/Political,"1105 Lavaca Street
Austin, Texas 78701
(30.273645403000444, -97.74339239499966)"
2012-10-19,2013-10-19,Frank Del Castillo,Cornerbrook Development,Multi-family Development,"1025 Dulles Avenue, Suite 815
Stafford, Texas 77477
(29.61130097500046, -95.5824287209997)"
2012-10-19,2013-10-19,Frank Del Castillo,"Rancho Garza, Ltd",Land Development,"17830 Serene Hills Pass
Austin, Texas 78738
(30.343595348000463, -98.00549142999967)"
2012-10-19,2013-10-19,Frank Del Castillo,Austin Community College District,Community College,"5930 Middle Fiskville Road
Austin, Texas 78752
(30.322127925000473, -97.71106497899967)"
2012-10-19,2013-10-19,Frank Del Castillo,One World Theatre,Entertainment,"7700 Bee Cave Road
Austin, Texas 78746
(30.31004202300045, -97.8453780639997)"
2013-10-08,2014-10-08,"Derlis ""Trey Salinas III",HDR Incorporated,Engineering Firm,"4401 West Gate Boulevard, Suite 400
Austin, Texas 78745
(30.234185515000433, -97.80055422799967)"
2013-10-08,2014-10-08,"Derlis ""Trey Salinas III",CCARE c/o Austin Chamber of Commerce ,Business League,"210 Barton Springs Road, Suite 400
Austin, Texas 78704
(30.25895744100046, -97.74741687799968)"
2013-10-08,2014-10-08,"Derlis ""Trey Salinas III",AMD,High Tech,"5204 East Ben White Boulevard
Austin, Texas 78741
(30.21423769000046, -97.7248076839997)"
2013-10-08,2014-10-08,"Derlis ""Trey Salinas III",Armbrust & Brown L.L.P.,Law Firm,"100 Congress Avenue, Suite 1300
Austin, Texas 78701
(30.26395091200044, -97.7443303069997)"
2013-10-08,2014-10-08,"Derlis ""Trey Salinas III",Endeavor Real Estate Group,Real Estate Investment/Development,"221 West 6th Street, Suite 1300
Austin, Texas 78702
(30.26857366200045, -97.74469865799966)"
2013-10-08,2014-10-08,"Derlis ""Trey Salinas III","Tokyo Electron America, Incorporated",High Tech,"2400 Grove Boulevard
Austin, Texas 78760
(30.221488645000477, -97.70763966799967)"
