Start,End,Lobbyist,Client,Industry,Cluster,Address,Confidence,IndustryCat1,IndustryCat2
2016-01-16,2017-01-15,Leah Bojo,MBC Engineers,Real Estate Development,174,"1035 Central Parkway North
San Antonio, Texas 78232
(29.570199, -98.475465)",0.909464025497,real estate,
2015-06-27,2016-06-26,Alexandra Jashinsky,Cary and Cynthia Reynolds,Property Owner,795,"1709 Bluebonnet Lane
Austin, Texas 78704
(30.254513, -97.772258)",0.917779028416,property management,
2016-01-16,2017-01-15,Leah Bojo,The NRP Group,Developer,547,"200 Concord Plaza, Suite 900
San Antonio, Texas 78216
(29.506315, -98.480016)",0.888537125928,,
2015-10-23,2016-10-22,"Derlis ""Trey"" Salinas III",CCARE,Business League,299,"1501 S MoPac Ste 310
Austin, Texas 78746
(30.261738, -97.790284)",0.904322067897,,
2016-01-07,2017-01-06,Amanda Morrow,The Charter School Fund,Public School,5,"855 Broad Street #300
Boise, Ohio 83702
(43.6138, -116.206611)",0.882274819272,education,
2015-01-13,2016-01-13,Stephen Butler,Alliance Residential,Real Estate Development,847,"3108 North Lamar
Austin, Texas 78705
(30.30064, -97.745985)",0.893042385578,real estate,
2015-10-23,2016-10-22,"Derlis ""Trey"" Salinas III",Wells Branch MUD,,440,"3000 Shoreline Drive
Austin, Texas 78728
(30.454257, -97.683406)",0.900115266442,,
2015-10-15,2016-10-14,Michele Haussmann,Terrell Gates,Real Estate,977,"7004 Bee Caves Rd., Bldg 3, Ste. 300
Austin, Texas 78746
(30.302078, -97.838946)",0.891884863377,real estate,
2015-12-24,2016-12-23,Richard Suttle,IDEA Public Schools,Public School,651,"1822 W. Braker Lane #81734
Austin, Texas 78708
(30.391356, -97.705818)",0.901507738978,education,
2015-06-27,2016-06-26,Alexandra Jashinsky,Edward Lopez,Property Owner,168,"2910 Rio Grande
Austin, Texas 78703
(30.296698, -97.743497)",0.915229809284,property management,
2015-07-21,2016-07-20,Pamela Madere,Ski Shores Properties,Real Estate Development,937,"1710 Evergreen Ave., Ste B
Austin, Texas 78704
(30.249876, -97.76539)",0.919909,real estate,
2014-08-20,2015-08-20,Jimmy Bennett Sr.,Boat Town Clayton Raven,Business Owner,257,"4630 S. Lamar
Austin, Texas 78745
(30.23227, -97.804335)",0.867708365122,,
2016-01-07,2017-01-06,Amanda Morrow,KIPP Austin Public School,Public School,636,"8509 FM 969, Bldg 513
Austin, Texas 78757
(30.277029, -97.637599)",0.904909444707,education,
2015-04-24,2016-04-23,Nikelle Meade,Berns Commercial Properties,Real Property Owner,356,"1515 Capital of Texas Highway, Suite 412
Austin, Texas 78746
(30.273642, -97.817456)",0.899007128345,,
2016-01-13,2017-01-12,Rick Triplett,South IH-35 Investors,Property Owner,841,"4131 Spicewood Springs Road, Bldg. C-5
Austin, Texas 78759
(30.370595, -97.755454)",0.906218943497,property management,
2016-01-07,2017-01-06,Lynn Carley,Austin Achieve,Public School,151,"5908 Manor Road
Austin, Texas 78723
(30.306982, -97.67975)",0.87506549923,education,
2014-05-04,2016-01-12,Katie King Ogden,Trinsic Residential Group,Real Estate,451,"3100 Monticello Avenue, Suite 900
Dallas, Texas 75205
(32.827095, -96.785954)",0.900998950005,real estate,
2015-09-12,2016-09-11,John Joseph,KB Home Central Texas Division,Real Estate,933,"10800 Pecan Park, Ste 200
Austin, Texas 78750
(30.463881, -97.801374)",0.936288,real estate,
2015-06-27,2016-06-26,Alexandra Jashinsky,Riverside Resources,Property Owner/Developer,156,"100 Congress Avenue, Suite 780
Austin, Texas 78701
(30.263396, -97.744545)",0.875243014866,property management,
2015-10-23,2016-10-22,"Derlis ""Trey"" Salinas III",Northtown MUD,Utility District,24,"1421 Wells Branch Pkwy, Ste 106
Pflugerville, Texas 78660
(30.440596, -97.663178)",0.909326036771,,
2016-01-05,2017-01-04,Michael Whellan,Alliance Residential,Real Estate Development,847,"3108 North Lamar
Austin, Texas 78705
(30.30064, -97.745985)",0.893042385578,real estate,
2014-08-20,2015-08-20,Jimmy Bennett Sr.,Shirley Vega,Contractor,671,"2200 Rio Grande
Austin, Texas 78705
(30.285609, -97.744911)",0.908459186554,,
2016-01-07,2017-01-06,Lynn Carley,The NRP Group,Real Estate Investment,4,"5309 Transportation Blvd.
Cleveland, Ohio 44125
(41.416923, -81.616139)",0.907611080578,real estate,
2014-12-21,2016-01-12,John Donisi,Spire Realty,Real Estate,489,"2001 Bryan Street, Ste 1550
Dallas, Texas 75201
(32.785014, -96.79617)",0.905131804943,real estate,
2016-01-13,2017-01-12,Peter Cesaro,Twin Oaks Associates,Property Owner,659,"400 East St. Elmo
Austin, Texas 78745
(30.215479, -97.762955)",0.915129289545,property management,
2016-01-07,2017-01-06,Lynn Carley,Manoj Saxena,Real Estate Investment/Development,18,"74 Pascal Lane
Austin, Texas 78746
(30.323325, -97.829121)",0.906110232527,real estate,
2016-03-14,2017-03-14,K Watson,"Dawlett, Haythem",Real Property Owner,444,"2101 Lakeway Boulevard
Austin, Texas 78734
(30.357599, -97.978513)",0.914429375104,,
2015-06-27,2016-06-26,Alexandra Jashinsky,408 Sterzing,Land Development Company,164,"203 Colorado Street
Austin, Texas 78701
(30.264954, -97.745427)",0.906935980687,,
2015-12-24,2016-12-23,Richard Suttle,CWS Capital Partners,Real Estate Development,53,"9606 North Mopac Expressway, Suite 500
Austin, Texas 78759
(30.386037, -97.735877)",0.89805749234,real estate,
2013-01-03,2014-01-03,Wm. Bray,"Wong, M.D., Mitchel",Property Owner,875,"1009 East 40th Street
Austin, Texas 78751
(30.297015, -97.719399)",0.901517937581,property management,
