index,original,industry1,industry2,subcategory
162,Construction Trade Association,construction,,
200,Home Builder,construction,,
203,Property Owner/Manager,,,
10,Education,education,,
160,Education/ Social Service Organization/Economic Development Corp,education,,
210,Private School,education,,
16,School,education,,
153,Energy,energy,,
103,Energy Efficient Contract,energy,,
288,Energy Related Issues,energy,,
299,Renewable Energy,energy,sustainable,
93,Renewable Energy Development,energy,sustainable,
172,Solar Company,energy,sustainable,
113,Solar Energy Provider,energy,,
173,Financial Institutions,finance,,
88,Financial Services,finance,,
184,Financing/Development,finance,,
285,Dentist,healthcare,,
125,Health Center,healthcare,,
300,Healthcare Network,healthcare,,
92,Healthcare Provider,healthcare,,
31,Healthcare Providor,healthcare,,
11,Hotel,hotel,,
214,Hotel Developers,hotel,,
185,Hotel/Resort,hotel,,
45,Law Firm,legal,,
112,Law Office,legal,,
295,Legal,legal,,
63,Practice of Law,legal,,
68,Sand and gravel mining,mining,,
89,Non- Profit,non-profit,,
146,Non-Profit,non-profit,,
264,Non-Profit Company,non-profit,,
155,Non-Profit Educational Charity,non-profit,education,
159,Non-profit,non-profit,,
150,Non-profit Public Health Organization,non-profit,public health,
196,Not-for-profit entity for dev. of Waller Creek Project.,non-profit,property development,parks
267,1023 Springdale TIA/Zoning,other,,
142,Parks and Trails,parks,,
136,Apartment Management,property management,,
152,Home Owner,property management,,
211,Homebuilder,property management,,
107,Homeowner,property management,,
84,Property Management,property management,,
21,Property Management; Real Estate Services,property management,,
28,Property Owner,property management,,
199,Property Owner/ Developer,property management,,
57,Property Owner/Developer,property management,,
5,Real Estate,real estate,,
255,Real Estate Broker,real estate,,
56,Real Estate Develoment,real estate,,
32,Real Estate Developement,real estate,,
50,Real Estate Developer,real estate,,
256,Real Estate Developers,real estate,,
4,Real Estate Development,real estate,,
121,Real Estate Entitlement,real estate,,
2,Real Estate Investment,real estate,,
218,Real Estate Investment Management,real estate,,
8,Real Estate Investment/ Development,real estate,,
1,Real Estate Investment/Development,real estate,,
27,Real Estate Investment/Development (Canada M5J2TE Address),real estate,,
116,Real Estate Investor,real estate,,
141,Real Estate and Non-Profit,real estate,non-profit,
183,Real Estate investment/ development,real estate,,
20,Real Estate/Investment,real estate,,
65,Real estate development,real estate,,
221,Real estate related issues,real estate,,
12,Religious Assembly,religious,,
6,Religious Assembly/Education,religious,,
66,Religious Organization,religious,,
294,Short Term Rentals,rental,short term,
287,Short term rentals,rental,short term,
17,Restaurant,restaurant,,
7,Restaurant Association,restaurant,,
171,Restaurant Operator,restaurant,,
250,Restaurant Owner,restaurant,,
25,Restaurant/Bar,restaurant,,
301,Restaurants,restaurant,,
46,Retail Merchant,retail,,
79,Retail Sales,retail,,
72,Quick Food Service,service,food,
44,High Tech,technology,,
98,Technology,technology,,
70,Technology/Secure Data Storage,technology,data,
275,Tourism,tourism,,
37,Parking,transportation,parking,
279,Parking Enforcement,transportation,parking,
145,Taxi Cab,transportation,services,
127,Taxicab,transportation,services,
194,Taxicab Company,transportation,services,
119,Zoning,zoning,,
265,Zoning Issues,zoning,,
302,"Zoning, subdivision, affordable housing",zoning,,
120,Zoning/Land Development,zoning,,
148,Zonng,zoning,,
277,Affordable Housing,,,
149,Land Developement,,,
